x,a,b,c,d,index_value,true_index_value
2,193,150,70,33,88,3915.59
3,192,161,70,6,173,3910.12
4,47,179,70,7,233,3906.26
5,74,193,73,13,302,3901.82
6,103,198,87,17,319,3900.73
7,125,194,94,23,332,3899.89
8,142,182,81,24,311,3901.24
9,142,177,72,27,303,3901.76
10,154,175,65,30,301,3901.88
11,161,176,71,32,302,3901.82
12,169,175,82,33,311,3901.24
13,169,169,79,33,310,3901.3
14,168,165,69,35,308,3901.43
15,176,163,60,37,324,3900.4
16,184,168,68,39,326,3900.28
17,192,170,75,42,331,3899.95
18,192,167,79,44,322,3900.53
19,198,166,77,45,311,3901.24
20,198,166,78,49,312,3901.18
21,208,169,84,53,338,3899.5
22,208,170,87,53,339,3899.44
23,208,168,82,54,338,3899.5
24,213,168,77,56,334,3899.76
25,216,169,88,57,334,3899.76
26,216,167,94,57,347,3898.92
27,215,164,88,57,347,3898.92
28,211,158,81,57,343,3899.18
29,211,155,76,56,339,3899.44
30,210,149,79,55,333,3899.82
31,208,145,75,55,330,3900.02
32,212,142,66,56,329,3900.08
33,213,144,62,61,330,3900.02
34,213,145,72,61,328,3900.15
35,213,144,78,61,324,3900.4
36,215,142,74,63,320,3900.66
37,227,146,69,65,335,3899.7
38,229,148,69,74,347,3898.92
39,231,153,84,76,365,3897.77
40,232,152,90,77,373,3897.25
41,238,152,85,81,380,3896.8
42,238,151,84,83,382,3896.67
43,238,150,90,84,382,3896.67
44,238,145,91,85,383,3896.61
45,241,144,86,87,390,3896.16
46,241,141,81,89,392,3896.03
47,241,138,79,87,385,3896.48
48,241,132,81,87,374,3897.19
49,239,126,76,86,362,3897.96
50,238,118,68,86,341,3899.31
51,238,115,61,87,340,3899.37
52,238,111,63,87,329,3900.08
53,238,110,64,87,324,3900.4
54,236,108,59,86,321,3900.6
55,235,107,56,79,321,3900.6
56,233,77,54,77,312,3901.18
57,231,71,46,76,299,3902.01
58,224,38,33,76,287,3902.79
59,223,32,27,78,285,3902.91
60,223,30,25,76,286,3902.85
61,222,27,29,74,289,3902.66
62,220,24,27,74,281,3903.17
63,217,21,22,73,273,3903.69
64,217,18,18,72,268,3904.01
65,216,16,16,71,267,3904.07
66,214,12,18,69,257,3904.72
67,213,10,16,68,249,3905.23
68,212,8,11,68,243,3905.62
69,210,9,7,67,239,3905.87
70,209,14,13,67,251,3905.1
71,207,17,19,68,256,3904.78
72,208,20,22,68,265,3904.2
73,208,19,21,67,268,3904.01
74,208,19,18,67,269,3903.94
75,207,21,22,67,272,3903.75
76,206,22,21,67,271,3903.81
77,207,22,20,67,266,3904.14
78,207,21,20,67,260,3904.52
79,208,23,22,68,267,3904.07
80,212,27,22,71,277,3903.43
81,213,30,24,76,292,3902.46
82,213,33,28,76,287,3902.79
83,213,32,29,76,286,3902.85
84,214,30,29,76,265,3904.2
85,214,28,27,77,262,3904.39
86,215,26,25,78,256,3904.78
87,219,30,22,80,269,3903.94
88,220,32,25,85,275,3903.56
89,220,37,32,85,286,3902.85
90,220,38,35,83,279,3903.3
91,220,37,34,80,272,3903.75
92,217,36,33,78,265,3904.2
93,215,34,36,77,259,3904.59
94,213,31,36,77,251,3905.1
95,213,30,31,78,248,3905.29
96,214,31,28,81,249,3905.23
97,217,36,30,82,268,3904.01
98,219,39,34,85,269,3903.94
99,221,44,39,87,282,3903.11
100,221,44,41,86,274,3903.62
101,220,42,41,86,273,3903.69
102,219,38,42,85,264,3904.27
103,217,37,39,85,263,3904.33
104,216,36,36,85,265,3904.2
105,216,36,35,85,265,3904.2
106,216,36,35,79,270,3903.88
107,215,32,38,73,261,3904.46
108,214,29,36,71,254,3904.91
109,210,23,30,71,242,3905.68
110,205,20,27,70,243,3905.62
111,204,19,27,70,244,3905.55
112,202,17,25,68,245,3905.49
113,202,14,23,66,239,3905.87
114,201,12,19,64,231,3906.39
115,200,9,16,62,226,3906.71
116,199,7,16,60,217,3907.29
117,197,4,14,58,213,3907.55
118,195,2,10,58,202,3908.26
119,194,1,9,58,213,3907.55
