cluster_id,cluster_size,signal_counts,long_open,long_close,short_open,short_close,long_pairs,short_pairs,total_pairs,signal_density
0,2,"{1: 1, 4: 1}",0,1,1,0,0,0,0,0.0
1,2,"{2: 1, 3: 1}",1,0,0,1,0,0,0,0.0
2,1,{1: 1},0,0,1,0,0,0,0,0.0
3,1,{2: 1},0,0,0,1,0,0,0,0.0
4,2,"{1: 1, 4: 1}",0,1,1,0,0,0,0,0.0
5,2,"{2: 1, 3: 1}",1,0,0,1,0,0,0,0.0
6,3,"{1: 2, 2: 1}",0,0,2,1,0,1,1,0.3333333333333333
7,1,{3: 1},1,0,0,0,0,0,0,0.0
8,1,{4: 1},0,1,0,0,0,0,0,0.0
9,2,"{1: 1, 4: 1}",0,1,1,0,0,0,0,0.0
10,2,"{2: 1, 3: 1}",1,0,0,1,0,0,0,0.0
11,1,{1: 1},0,0,1,0,0,0,0,0.0
12,1,{2: 1},0,0,0,1,0,0,0,0.0
13,2,{1: 2},0,0,2,0,0,0,0,0.0
14,2,{2: 2},0,0,0,2,0,0,0,0.0
15,1,{3: 1},1,0,0,0,0,0,0,0.0
16,1,{4: 1},0,1,0,0,0,0,0,0.0
17,1,{1: 1},0,0,1,0,0,0,0,0.0
18,1,{2: 1},0,0,0,1,0,0,0,0.0
19,3,"{1: 2, 3: 1}",1,0,2,0,0,0,0,0.0
20,3,"{2: 2, 4: 1}",0,1,0,2,0,0,0,0.0
21,2,"{1: 1, 4: 1}",0,1,1,0,0,0,0,0.0
22,2,"{2: 1, 3: 1}",1,0,0,1,0,0,0,0.0
23,2,"{1: 1, 3: 1}",1,0,1,0,0,0,0,0.0
24,1,{2: 1},0,0,0,1,0,0,0,0.0
25,1,{4: 1},0,1,0,0,0,0,0,0.0
26,2,"{1: 1, 2: 1}",0,0,1,1,0,1,1,0.5
27,1,{3: 1},1,0,0,0,0,0,0,0.0
28,2,"{1: 1, 3: 1}",1,0,1,0,0,0,0,0.0
29,2,{2: 2},0,0,0,2,0,0,0,0.0
30,2,"{4: 1, 1: 1}",0,1,1,0,0,0,0,0.0
31,3,"{1: 2, 4: 1}",0,1,2,0,0,0,0,0.0
32,3,"{2: 2, 3: 1}",1,0,0,2,0,0,0,0.0
33,1,{1: 1},0,0,1,0,0,0,0,0.0
34,3,"{2: 2, 4: 1}",0,1,0,2,0,0,0,0.0
35,1,{3: 1},1,0,0,0,0,0,0,0.0
36,1,{1: 1},0,0,1,0,0,0,0,0.0
37,2,"{1: 1, 4: 1}",0,1,1,0,0,0,0,0.0
38,2,{2: 2},0,0,0,2,0,0,0,0.0
39,1,{3: 1},1,0,0,0,0,0,0,0.0
40,1,{1: 1},0,0,1,0,0,0,0,0.0
41,1,{1: 1},0,0,1,0,0,0,0,0.0
42,1,{2: 1},0,0,0,1,0,0,0,0.0
43,1,{3: 1},1,0,0,0,0,0,0,0.0
44,1,{4: 1},0,1,0,0,0,0,0,0.0
45,3,"{1: 2, 3: 1}",1,0,2,0,0,0,0,0.0
46,3,"{2: 2, 4: 1}",0,1,0,2,0,0,0,0.0
47,1,{1: 1},0,0,1,0,0,0,0,0.0
48,3,"{2: 1, 4: 1, 1: 1}",0,1,1,1,0,1,1,0.3333333333333333
49,1,{3: 1},1,0,0,0,0,0,0,0.0
50,1,{2: 1},0,0,0,1,0,0,0,0.0
51,1,{1: 1},0,0,1,0,0,0,0,0.0
52,2,"{2: 1, 3: 1}",1,0,0,1,0,0,0,0.0
53,1,{4: 1},0,1,0,0,0,0,0,0.0
54,1,{1: 1},0,0,1,0,0,0,0,0.0
55,1,{2: 1},0,0,0,1,0,0,0,0.0
56,1,{1: 1},0,0,1,0,0,0,0,0.0
57,1,{2: 1},0,0,0,1,0,0,0,0.0
58,1,{1: 1},0,0,1,0,0,0,0,0.0
59,4,"{2: 2, 3: 1, 1: 1}",1,0,1,2,0,1,1,0.25
60,1,{4: 1},0,1,0,0,0,0,0,0.0
61,1,{1: 1},0,0,1,0,0,0,0,0.0
62,1,{2: 1},0,0,0,1,0,0,0,0.0
63,2,{1: 2},0,0,2,0,0,0,0,0.0
64,1,{2: 1},0,0,0,1,0,0,0,0.0
65,2,"{3: 1, 4: 1}",1,1,0,0,1,0,1,0.5
66,2,"{1: 1, 4: 1}",0,1,1,0,0,0,0,0.0
67,1,{2: 1},0,0,0,1,0,0,0,0.0
68,2,"{3: 1, 1: 1}",1,0,1,0,0,0,0,0.0
69,1,{2: 1},0,0,0,1,0,0,0,0.0
70,1,{1: 1},0,0,1,0,0,0,0,0.0
71,1,{2: 1},0,0,0,1,0,0,0,0.0
72,2,"{1: 1, 3: 1}",1,0,1,0,0,0,0,0.0
73,2,"{2: 1, 4: 1}",0,1,0,1,0,0,0,0.0
74,1,{1: 1},0,0,1,0,0,0,0,0.0
75,1,{1: 1},0,0,1,0,0,0,0,0.0
76,1,{2: 1},0,0,0,1,0,0,0,0.0
77,3,"{1: 2, 4: 1}",0,1,2,0,0,0,0,0.0
78,1,{2: 1},0,0,0,1,0,0,0,0.0
79,1,{3: 1},1,0,0,0,0,0,0,0.0
80,1,{2: 1},0,0,0,1,0,0,0,0.0
81,2,"{1: 1, 4: 1}",0,1,1,0,0,0,0,0.0
82,2,"{2: 1, 3: 1}",1,0,0,1,0,0,0,0.0
83,1,{1: 1},0,0,1,0,0,0,0,0.0
84,2,"{1: 1, 3: 1}",1,0,1,0,0,0,0,0.0
85,1,{2: 1},0,0,0,1,0,0,0,0.0
86,1,{4: 1},0,1,0,0,0,0,0,0.0
87,1,{1: 1},0,0,1,0,0,0,0,0.0
88,3,"{2: 2, 3: 1}",1,0,0,2,0,0,0,0.0
89,2,"{4: 1, 1: 1}",0,1,1,0,0,0,0,0.0
90,3,"{1: 1, 2: 1, 4: 1}",0,1,1,1,0,1,1,0.3333333333333333
91,1,{3: 1},1,0,0,0,0,0,0,0.0
92,2,"{1: 1, 2: 1}",0,0,1,1,0,1,1,0.5
93,2,"{2: 1, 4: 1}",0,1,0,1,0,0,0,0.0
94,1,{3: 1},1,0,0,0,0,0,0,0.0
95,1,{1: 1},0,0,1,0,0,0,0,0.0
96,1,{1: 1},0,0,1,0,0,0,0,0.0
97,2,"{2: 1, 3: 1}",1,0,0,1,0,0,0,0.0
98,1,{4: 1},0,1,0,0,0,0,0,0.0
99,2,"{1: 1, 3: 1}",1,0,1,0,0,0,0,0.0
100,2,"{2: 1, 4: 1}",0,1,0,1,0,0,0,0.0
101,1,{1: 1},0,0,1,0,0,0,0,0.0
102,1,{2: 1},0,0,0,1,0,0,0,0.0
103,1,{1: 1},0,0,1,0,0,0,0,0.0
104,1,{2: 1},0,0,0,1,0,0,0,0.0
105,1,{1: 1},0,0,1,0,0,0,0,0.0
106,1,{2: 1},0,0,0,1,0,0,0,0.0
107,2,"{3: 1, 1: 1}",1,0,1,0,0,0,0,0.0
108,1,{4: 1},0,1,0,0,0,0,0,0.0
109,1,{1: 1},0,0,1,0,0,0,0,0.0
110,1,{2: 1},0,0,0,1,0,0,0,0.0
111,3,"{1: 1, 4: 1, 2: 1}",0,1,1,1,0,1,1,0.3333333333333333
112,3,"{2: 1, 3: 1, 1: 1}",1,0,1,1,0,1,1,0.3333333333333333
113,2,"{1: 1, 4: 1}",0,1,1,0,0,0,0,0.0
114,2,"{2: 1, 3: 1}",1,0,0,1,0,0,0,0.0
115,1,{1: 1},0,0,1,0,0,0,0,0.0
116,1,{2: 1},0,0,0,1,0,0,0,0.0
117,2,"{1: 1, 4: 1}",0,1,1,0,0,0,0,0.0
118,2,"{2: 1, 3: 1}",1,0,0,1,0,0,0,0.0
119,1,{1: 1},0,0,1,0,0,0,0,0.0
120,1,{2: 1},0,0,0,1,0,0,0,0.0
