x,a,b,c,d,index_value,distance_from_signal
528,61,40,28,41,149,-30
529,61,40,29,40,148,-29
530,60,39,29,38,143,-28
531,59,38,28,37,141,-27
532,58,37,25,35,136,-26
533,56,39,25,33,142,-25
534,56,41,25,32,150,-24
535,56,43,30,32,158,-23
536,56,43,29,32,157,-22
537,55,42,27,31,148,-21
538,55,42,27,31,147,-20
539,55,42,25,30,144,-19
540,54,43,25,29,141,-18
541,54,44,27,29,140,-17
542,53,46,27,28,140,-16
543,52,46,32,26,141,-15
544,52,55,33,26,148,-14
545,52,59,33,26,165,-13
546,54,68,31,29,172,-12
547,54,71,37,29,182,-11
548,55,71,38,29,176,-10
549,55,70,40,29,173,-9
550,55,70,40,29,170,-8
551,54,69,40,28,163,-7
552,53,68,40,27,159,-6
553,49,67,39,20,150,-5
554,48,65,41,18,142,-4
555,46,62,40,17,135,-3
556,44,61,38,13,129,-2
557,43,60,37,10,122,-1
558,42,59,36,9,120,0
559,41,60,36,7,126,1
560,40,63,36,5,136,2
561,40,64,40,5,142,3
562,40,64,42,5,145,4
563,40,64,41,5,140,5
564,40,65,39,4,140,6
565,40,66,39,4,145,7
566,40,68,40,4,147,8
567,40,69,41,4,151,9
568,41,73,41,6,163,10
569,44,77,41,10,169,11
570,45,81,47,13,183,12
571,45,88,52,13,187,13
572,45,95,54,13,201,14
573,47,103,62,15,206,15
574,48,109,70,18,219,16
575,49,112,74,19,225,17
576,50,113,76,20,228,18
577,52,113,78,22,230,19
578,52,113,78,23,232,20
579,53,115,76,25,239,21
580,55,117,76,27,245,22
581,56,119,79,29,250,23
582,57,119,83,30,253,24
583,58,119,84,31,251,25
584,58,118,84,31,250,26
585,59,119,84,32,250,27
586,60,120,84,33,256,28
587,60,122,85,34,257,29
